,saga,books,number,finished
3809,Shadowmagic,"['Shadowmagic', 'Prince of Hazel and Oak']",2,Yes
3810,Edgewood,['Edgewood'],1,No
3811,Bea Catcher Chronicles,['Sketchy'],1,No
3812,Hudson Valley,['Nuts'],1,No
3813,Luc & Lisette,"['The Lavender Keeper', 'The French Promise']",2,Yes
3814,April Lancaster,['Till Death Do Us Part'],1,Yes
3815,My Secret Unicorn,['The Magic Spell'],1,Yes
3816,Governess Brides,"['My Fair Temptress', 'My Favorite Bride']",2,No
3817,Star Wars: The Hand of Thrawn Duology,"['Specter of the Past', 'Vision of the Future']",2,No
3818,Ladies of Caldwell County,['Sixty Acres and a Bride'],1,Yes
3819,Real Life,"['Motorcycles, Sushi and One Strange Book (Enhanced Edition)']",1,Yes
3820,Dark Passages,['White Space'],1,Yes
3821,The Franzons,"[""Papa's Wife""]",1,Yes
3822,"Franny K. Stein, Mad Scientist",['Lunch Walks Among Us'],1,Yes
3823,Halflings,['Halflings'],1,No
3824,Felix Castor,"[""Dead Men's Boots"", 'Thicker Than Water', 'Vicious Circle', 'The Naming of the Beasts']",4,Yes
3825,Wasteland,['Wasteland'],1,No
3826,Claire Donovan,"['The Rossetti Letter', 'The Devlin Diary']",2,No
3827,Rhiannon's Ride,['The Tower of Ravens'],1,Yes
3828,The Explosionist,['The Explosionist'],1,No
3829,Moon Riders,"['The Moon Riders', 'Voyage of the Snake Lady']",2,Yes
3830,The Bloodhound Files,"['Better Off Undead', 'Killing Rocks', 'Dying Bites', 'Death Blows']",4,Yes
3831,The Cage,['The Cage'],1,No
3832,Princess Nevermore and the Wizard's Apprentice,['Princess Nevermore'],1,Yes
3833,Jumanji,['Jumanji'],1,No
3834,Bio Rescue,['Bio Rescue'],1,Yes
3835,Philippa Fisher,"[""Philippa Fisher and the Dream-Maker's Daughter"", ""Philippa Fisher and the Fairy's Promise"", ""Philippa Fisher's Fairy Godsister""]",3,Yes
3836,Red Sonja Vol. 2,"['Red Sonja, Vol. 2: The Art of Blood and Fire']",1,No
3837,A Twisted Tale,['As Old As Time'],1,Yes
3838,Angels in Pink,"[""Holly's Story"", ""Raina's Story"", ""Kathleen's Story""]",3,Yes
3839,Of Witches and Warlocks,['The Demon Kiss'],1,No
3840,Sinclair Brothers,['The Man Must Marry'],1,Yes
3841,Beware the Wild,['Beware the Wild'],1,Yes
3842,The Ravenwood Saga,"['Cry of the Raven', 'Mark of the Raven']",2,Yes
3843,Hex,['Over Hexed'],1,Yes
3844,The Shadow Keepers,['When Blood Calls'],1,No
3845,Savannah Vampire,"[""The Vampire's Seduction""]",1,Yes
3846,Frost,['Bitter Frost'],1,No
3847,Valley of the Dragons,['Dragons of the Valley'],1,No
3848,Skyship Academy,"['The Pearl Wars', 'Crimson Rising']",2,No
3849,Saga of the Latter-Day Celts,['Eirelan'],1,No
3850,Dragon's Ring,['Dog and Dragon'],1,No
3851,McCullough Mountain,['Almost Priest'],1,Yes
3852,Angelique - Version Originale,['Angelique and the King'],1,Yes
3853,Vegas Titans,"[""Devil's Kiss: Widowmakers MC""]",1,No
3854,Landry Park,['Landry Park'],1,Yes
3855,A Winters Love,"[""The Billionaire's First Christmas""]",1,Yes
3856,Boudreaux,"['Easy Kisses', 'Easy Melody', 'Easy Love']",3,Yes
3857,Brody's Ghost,"[""Brody's Ghost, Volume 1"", ""Brody's Ghost, Volume 2""]",2,No
3858,Harper's Mountains,['Blackwing Dragon'],1,No
3859,Cate Padgett,['Always the Bridesmaid'],1,No
3860,Crowning Mercy,['Fallen Angels'],1,No
3861,Inheritors' Cycle,"[""The Queen's Bastard""]",1,Yes
3862,Shape-Shifter,['Second Nature'],1,No
3863,InuYasha,['InuYasha: Building a Better Trap'],1,No
3864,Conclave of Shadows,['Talon of the Silver Hawk'],1,Yes
3865,The Korsak Brothers,"['Chimera', 'Basilisk']",2,No
3866,Renegade X,['The Rise of Renegade X'],1,No
3867,Lt. Leary / RCN,['With the Lightnings'],1,Yes
3868,Treading Water,['Treading Water'],1,No
3869,The Lost,['The Lost'],1,Yes
3870,Stirring Up Trouble Trilogy,['Stirring Up Trouble'],1,No
3871,A Worthy Pursuit,['A Worthy Pursuit'],1,Yes
3872,Everland Ever After,['Little Red'],1,No
3873,Vespasian,"[""Rome's Executioner"", 'False God of Rome', ""Rome's Lost Son""]",3,No
3874,Braided Path,"['The Skein of Lament', 'The Weavers of Saramyr']",2,Yes
3875,The Uncommoners,['The Crooked Sixpence'],1,Yes
3876,The Iron Dragon's Daughter,"['The Dragons of Babel', ""The Iron Dragon's Daughter""]",2,Yes
3877,Brothers of Gwynedd,['Sunrise in the West'],1,No
3878,The Silver Call,"['The Brega Path', 'Trek to Kraggen-Cor']",2,Yes
3879,The Immortal Ones,['A Chance for Charity'],1,Yes
3880,Briar Creek Vampires,"['Thicker Than Water', 'Kiss of Death']",2,Yes
3881,Heart of the Wolf,['Legend of the White Wolf'],1,No
3882,Guild Wars,"['Edge of Destiny', 'Ghosts of Ascalon']",2,No
3883,Empire of Man,['March Upcountry'],1,Yes
3884,Blueberry Springs,['Whiskey and Gumdrops'],1,No
3885,After Dark,"['Fire After Dark', 'Promises After Dark', 'Secrets After Dark']",3,Yes
3886,Dangerous,['Dangerous Lover'],1,Yes
3887,Godchild,"['Godchild, Volume 01']",1,No
3888,Elephant & Piggie,['Waiting is Not Easy!'],1,No
3889,The World of the Others,"['Lake Silence', 'Wild Country']",2,Yes
3890,Exiles,['The Ruins of Ambrai'],1,Yes
3891,Only in Gooding,['Forevermore'],1,Yes
3892,Dark Fusion,"['Dread Locks', 'Duckling Ugly']",2,No
3893,The Chosen,"['Redemption', 'Sacrifice', 'Hunted', 'Chosen']",4,Yes
3894,Jed de Landa,['In the Courts of the Sun'],1,Yes
3895,Origami Yoda,['Darth Paper Strikes Back'],1,No
3896,The Tainted Realm,"['Rebellion', 'Vengeance']",2,No
3897,Treehouse,['The 39-Storey Treehouse'],1,No
3898,Chronicles of the Pneumatic Zeppelin,['Romulus Buckle & the City of the Founders'],1,No
3899,Five Boroughs,['Interborough'],1,Yes
3900,Stoneheart Trilogy,['Stoneheart'],1,No
3901,Alais Capet,['The Canterbury Papers'],1,No
3902,Fenestra,['Meridian'],1,No
3903,Warm Delicacy,"['Savor', 'Indulge']",2,Yes
3904,The Book of Deacon,['The Book of Deacon'],1,Yes
3905,Ventus,['Ventus'],1,No
3906,Weldon,['Wild Irish Ride'],1,Yes
3907,Val Cache,"['Prince of Dreams', 'Prince of Wolves']",2,Yes
3908,Erin Bennett,['Time to Let Go'],1,No
3909,Books of Dalthia,['Just Ella'],1,No
3910,Loving on the Edge,['Fall into You'],1,No
3911,Stargate SG-1,['Roswell'],1,Yes
3912,Rowan Hood,['Rowan Hood: Outlaw Girl of Sherwood Forest'],1,No
3913,Ever After High,"['The Unfairest of Them All', 'The Storybook of Legends']",2,No
3914,The Impostor Queen,['The Impostor Queen'],1,Yes
3915,Devil's Riders,['Wanted By The Devil'],1,Yes
3916,Iron Tower Trilogy,"['Shadows of Doom', 'The Darkest Day', 'The Dark Tide']",3,Yes
3917,Talisman Ring,['Lady in Red'],1,No
3918,Kingdom of Xia (Phoenix),"['Fury of the Phoenix', 'Silver Phoenix']",2,Yes
3919,H&W Investigations,['Hunted by the Others'],1,Yes
3920,Dark Tide,['Dark Tide I: Onslaught'],1,Yes
3921,Lady Helen,['The Dark Days Club'],1,Yes
3922,Infinity Blade,['Redemption'],1,Yes
3923,San Antonio Connection,['A Mutual Favor'],1,No
3924,The Chronicles of Kerrigan,['Rae of Hope'],1,Yes
3925,Ozark Mountain Romance,"[""At Love's Bidding""]",1,No
3926,Burning Glass,['Burning Glass'],1,Yes
3927,Peregrine,['The Taming'],1,No
3928,Everafter,['everafter'],1,Yes
3929,The Balance Keepers,['The Fires of Calderon'],1,Yes
3930,Wife Lottery,"[""A Texan's Luck""]",1,No
3931,Draycott Abbey,['Hour of the Rose'],1,Yes
3932,Scandal in Sussex,['The Duke in Denial'],1,No
3933,Event Group Thriller,['Legend'],1,Yes
3934,Edwardian Brides,['The Governess of Highland Hall'],1,Yes
3935,Foster Saga,['Remember When'],1,Yes
3936,The Exception,['The Perception'],1,Yes
3937,Fighting to Be Free,"['Fighting to Be Free', 'Worth Fighting For']",2,Yes
3938,Lady Killer,"['Lady Killer, Vol. 1']",1,No
3939,Astro City,"['Astro City, Vol. 2: Confession']",1,Yes
3940,Disputed Lands,"['Forbidden', 'Untamed']",2,Yes
3941,Forge of God,['The Forge of God'],1,No
3942,A Life of Faith: Millie Keith,"[""Millie's Reluctant Sacrifice""]",1,No
3943,Prairie Winds,"['Soaring Eagle', 'Red Bird', 'Walks The Fire']",3,Yes
3944,Timegod's World,['The Timegod'],1,Yes
3945,The Peculiar,['The Peculiar'],1,Yes
3946,A Fire Beneath the Skin,['Ink Mage'],1,Yes
3947,Doctor Who: New Series Adventures Specials,['Doctor Who: Engines of War'],1,Yes
3948,Enlightenment,['Enlightened'],1,No
3949,Vampire's Promise,"[""The Vampire's Promise""]",1,Yes
3950,Silver Dragons,"['Me and My Shadow', 'Up In Smoke', 'Playing With Fire']",3,No
3951,Cuttersville,['Heiress for Hire'],1,No
3952,The Heart of the West,['No Place for a Lady'],1,Yes
3953,The II AM Trilogy,['The Blood That Bonds'],1,No
3954,Modern Wicked Fairy Tale,['Alice'],1,No
3955,Titanic,"['Titanic: The Long Night', 'Remembering the Titanic']",2,Yes
3956,Nine Kingdoms,['Star of the Morning'],1,No
3957,The Perception Trilogy,['Perception'],1,Yes
3958,Shadow,['Shadow Bound'],1,No
3959,Actually,['From Notting Hill with Love... Actually'],1,No
3960,Landry Family,['Sway'],1,Yes
3961,Fever Crumb Series,"[""Scrivener's Moon""]",1,Yes
3962,Fenway and Hattie,['Fenway and Hattie'],1,No
3963,If We Kiss,['If We Kiss'],1,No
3964,The Spoils of Time,"['No Angel', 'Something Dangerous', 'Into Temptation']",3,Yes
3965,The Water Keepers,['Deep Blue Secret'],1,Yes
3966,The Historical Illuminatus Chronicles,"[""Nature's God""]",1,No
3967,Martyr's Song,['When Heaven Weeps'],1,Yes
3968,The Dragon Diaries Trilogy,['Flying Blind'],1,Yes
3969,Puella Magi Madoka Magica,"['Puella Magi Madoka Magica, Vol. 1']",1,Yes
3970,The Custard Protocol,['Imprudence'],1,Yes
3971,Satucket,"[""The Widow's War""]",1,No
3972,Blame!,"['Blame!, Vol. 1']",1,No
3973,Silk,"['Murder of Angels', 'Silk']",2,Yes
3974,Velva Jean,['Velva Jean Learns to Drive'],1,No
3975,The Three Worlds Cycle,"['Tetrarch: A Tale Of The Three Worlds', 'Alchymist: A Tale Of The Three Worlds']",2,Yes
3976,A Chrissy McMullen Mystery,['Unzipped'],1,Yes
3977,Jane Doe Chronicles,['Jane Doe and the Cradle of All Worlds'],1,No
3978,The Gollywhopper Games,['The Gollywhopper Games'],1,No
3979,Jane Austen Addict,['Confessions of a Jane Austen Addict'],1,Yes
3980,The Princess Tales,"['Princess Sonora and the Long Sleep', ""The Fairy's Mistake""]",2,Yes
3981,Magic by the Numbers,['Master of the Five Magics'],1,Yes
3982,Jillaroo,['River Run Deep'],1,Yes
3983,Hickory Ridge Romance,['Beyond All Measure'],1,No
3984,Dark Mirror,['Dark Mirror'],1,Yes
3985,Fifty Shades of Alice Trilogy,['Fifty Shades of Alice in Wonderland'],1,No
3986,Hot Zone,"['Hot Number', 'Hot Stuff', 'Hot Item']",3,Yes
3987,History Keepers,['The Storm Begins'],1,No
3988,Girl Bachelors,['And Then He Kissed Her'],1,Yes
3989,The Woodlands,['The Woodlands'],1,No
3990,Hot & Hammered,['Fix Her Up'],1,No
3991,+Anima,['+Anima 3'],1,No
3992,The World of the Alfar,['The Wizard and the Warlord'],1,No
3993,Claire de Lune,['Claire de Lune'],1,No
3994,Pacific Heat,"['Slow Heat', 'Double Play']",2,No
3995,A Land Fit for Heroes,"['The Steel Remains', 'The Cold Commands']",2,No
3996,Preservation,['Preservation'],1,No
3997,Blackhearts,['Blackhearts'],1,Yes
3998,Sanctuary,['Defender'],1,Yes
3999,Agent Cormac,"['Polity Agent', 'Brass Man', 'The Line Of Polity']",3,Yes
4000,Heart of Thorns,['Heart of Thorns'],1,No
4001,The Cassaforte Chronicles,"[""The Glass Maker's Daughter""]",1,Yes
4002,Talions,['Dark Warrior Untamed'],1,No
4003,McJames,['Bedding the Enemy'],1,No
4004,Order of Solace,['No Greater Pleasure'],1,Yes
4005,Aisling Grey,['Holy Smokes'],1,No
4006,Sterkarm,['The Sterkarm Handshake'],1,No
4007,Regency Chase,['Lost in Temptation'],1,Yes
4008,Above World,['Above World'],1,No
4009,Spiritwalker,['Cold Magic'],1,No
4010,My Heart Remembers,['My Heart Remembers'],1,No
4011,The Nightkeepers,['Nightkeepers'],1,Yes
4012,Aunt Dimity Mystery,"[""Aunt Dimity's Christmas"", 'Aunt Dimity Digs In', ""Aunt Dimity's Good Deed"", 'Aunt Dimity Beats the Devil', 'Aunt Dimity and the Duke', ""Aunt Dimity's Death""]",6,Yes
4013,Nightcreature,['Rising Moon'],1,No
4014,Immortality Bites Mystery,"['Bled & Breakfast', 'Blood Bath & Beyond']",2,No
4015,The Nameless City,['The Stone Heart'],1,No
4016,Gil Trilogy,['Lady in Gil'],1,No
4017,Arravan,['Nightshade'],1,Yes
4018,Discworld Graphic Novels,['Guards! Guards!: The Graphic Novel'],1,Yes
4019,Midnight Bay,"['Mystical Warrior', 'Moonlight Warrior']",2,No
4020,Chronicles of Avonlea,['Chronicles of Avonlea'],1,Yes
4021,Nemesis,['Nemesis'],1,No
4022,The Song of the Tears,['The Destiny of the Dead'],1,Yes
4023,Dancing Jax,['Dancing Jax'],1,Yes
4024,The Rules of Scoundrels,['A Rogue by Any Other Name'],1,No
4025,Mountain Masters & Dark Haven,"['Master of the Abyss', 'My Liege of Dark Haven', 'Master of the Mountain']",3,No
4026,Zion Diaries,['The Gathering Storm'],1,Yes
4027,The Legend of Magda Searus,['The First Confessor'],1,Yes
4028,Mercy Hollings,"['Beg For Mercy', 'Angel Of Mercy', 'Cry Mercy']",3,Yes
4029,Rebel Ridge,"[""'Til Death"", ""Don't Cry for Me"", 'Next of Kin']",3,No
4030,The Remaining,['The Remaining: Refugees'],1,Yes
4031,Sylph,['The Battle Sylph'],1,Yes
4032,Bhinian Empire,['City of a Thousand Dolls'],1,Yes
4033,Beauvallet Dynasty,"['Beauvallet', 'Simon the Coldheart']",2,No
4034,Richard Sharpe,"[""Sharpe's Skirmish: Richard Sharpe and the Defence of the Tormes, August 1812""]",1,Yes
4035,London Novels,['Mother London'],1,Yes
4036,Swoon,['Swoon'],1,No
4037,Wild Irish,['Come Monday'],1,Yes
4038,The Arcane Society,"['Fired Up', 'Running Hot', 'The Third Circle', 'Sizzle and Burn', 'Second Sight', 'White Lies', 'The Perfect Poison']",7,No
4039,Richard and Kahlan,['The Third Kingdom'],1,No
4040,London Fairy Tales,['Upon a Midnight Dream'],1,No
4041,Finding Forever,['Promise Me'],1,Yes
4042,Family Blood Ties,['Vampire in Denial'],1,Yes
4043,It Happened at the Fair,['It Happened at the Fair'],1,No
4044,Stella Mayweather,"['Unruly Magic', 'Devious Magic', 'Magic Rising']",3,Yes
4045,Wayward,"['Wayward, Vol. 1: String Theory']",1,Yes
4046,Mighty Jack,['Mighty Jack'],1,Yes
4047,Tigress,['White Tigress'],1,No
4048,Pantheon,"['The Age of Zeus', 'The Age of Odin']",2,Yes
4049,The Cousins O'Dwyer Trilogy,['Dark Witch'],1,No
4050,Security Specialists International,['Eye of the Storm'],1,No
4051,Clockwise,['Clockwise'],1,Yes
4052,Shadow Riders,['Shadow Rider'],1,No
4053,Kent Family Chronicles,['The Titans'],1,No
4054,Legends of the Red Sun,['City of Ruin'],1,Yes
4055,Knightley Academy,['Knightley Academy'],1,No
4056,Dirk & Steele,"['Tiger Eye', 'Shadow Touch', 'The Red Heart of Jade', 'In the Dark of Dreams', 'The Fire King', 'The Last Twilight', 'The Wild Road', 'Soul Song', 'Eye of Heaven']",9,No
4057,Eternal Bachelors Club,['One Long Embrace'],1,No
4058,Dragons of Deltora,['Shadowgate'],1,No
4059,Time Museum,['The Time Museum'],1,No
4060,Torpedo Ink,['Judgment Road'],1,No
4061,Echo Falls,['Down the Rabbit Hole'],1,No
4062,Deceptions,['A Tangled Web'],1,No
4063,The Vespertine,['The Vespertine'],1,No
4064,The Guardian Chronicles,['The Broken Council'],1,No
4065,Dragonmaster,['Dragonmaster'],1,Yes
4066,Haruhi Suzumiya,"['The Boredom of Haruhi Suzumiya', 'The Sigh of Haruhi Suzumiya']",2,No
4067,Heartbreakers,['The Heartbreakers'],1,No
4068,Everlastin',"[""Everlastin'""]",1,Yes
4069,Red River,"[""The Best Man's Baby""]",1,No
4070,Off the Subject,['Redesigned'],1,No
4071,The London Trilogy,['The Luckiest Lady in London'],1,No
4072,Black Dagger Brotherhood: Prison Camp,['The Jackal'],1,Yes
4073,Ivy MacTavish,['The Book of Lost Souls'],1,No
4074,Game for It,['Game for Marriage'],1,Yes
4075,Deadly Angels,['Kiss of Pride'],1,No
4076,Deadly Trilogy,['Deadly Offerings'],1,Yes
4077,"Long, Tall Texans",['Lawless'],1,Yes
4078,Cat Dupree,['Nine Lives'],1,Yes
4079,Dream Guardians,['Pleasures of the Night'],1,No
4080,Shadow & Dagger,['Greendaughter'],1,Yes
4081,Stone Braide Chronicles,['Lightning'],1,Yes
4082,Last Call,['Sugar on the Edge'],1,Yes
4083,Wrapped,['Wrapped'],1,No
4084,Dr. Charlotte Stone,"['The Last Kiss Goodbye', 'The Last Victim']",2,Yes
4085,Tarzan,['Tarzan and the Jewels of Opar'],1,No
4086,The Silver,['Silver'],1,No
4087,Frostflower,['Frostflower And Thorn'],1,No
4088,Witch's Bell,"[""Witch's Bell 1""]",1,Yes
4089,Claidi Journals,['Wolf Tower'],1,No
4090,Berrybrook Middle School,['Crush'],1,No
4091,The 39 Clues: The Cahill Files,['Operation Trinity'],1,No
4092,Queens of England,"['The Rose Without a Thorn', 'Victoria Victorious: The Story of Queen Victoria']",2,Yes
4093,Shattered Promises,['Broken Visions'],1,Yes
4094,Bluegrass,['Bluegrass State of Mind'],1,No
4095,Worldwalker Duology,['Truthseeker'],1,Yes
4096,Books of Swords,['The First Book of Swords'],1,No
4097,The Galdoni,['Galdoni'],1,Yes
4098,Cheri,['Cheri'],1,No
4099,Mallorens & Friends,"['My Lady Notorious', 'Tempting Fortune']",2,No
4100,Ophelia & Abby Mystery,"['Witch Way to Murder', 'Charmed to Death', 'The Trouble With Witches', 'Witch Hunt', 'The Witch Is Dead', ""The Witch's Grave"", 'The Seventh Witch']",7,Yes
4101,EMS,['Sudden Response'],1,No
4102,Zoe Martinique,['Wraith'],1,Yes
4103,"Kat, Incorrigible","['Kat, Incorrigible', 'Stolen Magic', 'Courting Magic']",3,Yes
4104,Dark Horse Star Wars Legends,"['Star Wars, Volume 2: From the Ruins of Alderaan']",1,Yes
4105,The Danaan Trilogy,['The Forgotten Ones'],1,No
4106,Sherwood,['Lady of the Forest'],1,No
4107,New York Blades,['Body Check'],1,Yes
4108,Crystal Keep,"[""Guardian's Key""]",1,No
4109,The Dog-Faced Gods,['A Matter of Blood'],1,Yes
4110,Evie Scelan,['Spiral Hunt'],1,No
4111,Amish Secrets,['An Unforgivable Secret'],1,No
4112,Trouble,"['Courting Trouble', 'Deep in the Heart of Trouble']",2,No
4113,The Fall of Ile-Rien,"['The Wizard Hunters', 'The Ships of Air', 'The Gate of Gods']",3,No
4114,Laurel Heights,['Perfect for You'],1,No
4115,Cajun,"['The Love Potion', 'The Red Hot Cajun', 'Tall, Dark, and Cajun', 'The Cajun Cowboy']",4,No
4116,MetaWars,['Trance'],1,No
4117,Legends of Dimmingwood,['Magic of Thieves'],1,No
4118,Untamed City,['Carnival of Souls'],1,No
4119,Lady Trent Mystery,['The Mermaid in the Basement'],1,Yes
4120,Deadish,['Dead[ish]'],1,Yes
4121,The Red Gloves,"[""Maggie's Miracle""]",1,No
4122,The Burn,['The Burn'],1,No
4123,Flappers,['Vixen'],1,Yes
4124,Maiden Lane,['Wicked Intentions'],1,No
4125,The Fall of Haven,['Haven'],1,Yes
4126,Sphinx's Princess,"[""Sphinx's Princess""]",1,Yes
4127,Science of Discworld,"[""Darwin's Watch"", 'The Science of Discworld']",2,No
4128,Earth Witches,['Viper Moon'],1,No
4129,The Ending,['After The Ending'],1,Yes
4130,Litchfield,['Silk and Steel'],1,Yes
4131,Mistress Trilogy,"['His Favorite Mistress', 'The Accidental Mistress', 'My Fair Mistress']",3,No
4132,Family tree series,['Witch of the Glens'],1,Yes
4133,Clipped Wings,"['Inked Armor', 'Clipped Wings']",2,Yes
4134,Stuart Quartet,"[""Queen's Own Fool""]",1,No
4135,Mistress,['More Than a Mistress'],1,Yes
4136,Willow Park,['Married for Christmas'],1,Yes
4137,Messenger,"[""Don't Kill The Messenger""]",1,Yes
4138,Forever King,['The Forever King'],1,No
4139,Twin Willows Trilogy,['Winter Falls'],1,No
4140,Cheney and Shiloh: The Inheritance,"['Where Two Seas Met', 'The Moon by Night', 'There is a Season']",3,No
4141,Fortune Hunter Trilogy,"['The Fortune Hunter', 'Show and Tell']",2,No
4142,Unicorn Bait,['Unicorn Bait'],1,Yes
4143,Remember Trilogy,['Remember When'],1,Yes
4144,Immortal Essence,['Exiled'],1,Yes
4145,The Tales of Aeron,"['The Silver Branch', 'The Copper Crown']",2,Yes
4146,Leland Sisters,['Bewitching Season'],1,Yes
4147,Liaden Universe,"['Agent of Change', 'Carpe Diem', 'Plan B', 'I Dare', 'Ghost Ship']",5,No
4148,Retrievers,['Curse the Dark'],1,No
4149,Laura Blackstone,['Skin Deep'],1,No
4150,The Shapeshifter Chronicles,['Fledgling'],1,Yes
4151,Jewel Kingdom,['The Ruby Princess Runs Away'],1,Yes
4152,The Byrons of Braebourne,['Seduced by His Touch'],1,Yes
4153,The Kane Chronicles: The Graphic Novels,['The Red Pyramid: The Graphic Novel'],1,No
4154,Paranormal Scene Investigations,"['Pack of Lies', 'Hard Magic']",2,No
4155,Legacies of the Ancient River,['Dreamers'],1,Yes
4156,Hell Yeah!,['Cowboy Heat'],1,No
4157,Elite Force,"['Free Fall', 'Hot Zone']",2,No
4158,Harrowing,"['and Falling, Fly']",1,Yes
4159,The Trap Trilogy,['The Husband Trap'],1,Yes
4160,Star Wars: Junior Jedi Knights,"[""Vader's Fortress""]",1,Yes
4161,Song of Alaska,"[""Morning's Refrain"", ""Dawn's Prelude""]",2,Yes
4162,Dead World,['Dead City'],1,Yes
4163,Dark Sorcery,['Forbidden Magic'],1,No
4164,Devoured,"['Consume', 'Devour']",2,No
4165,Eternally Yours,['Divine and Dateless'],1,No
4166,Sirantha Jax,['Grimspace'],1,Yes
4167,Fairchild Family,['A Well Pleasured Lady'],1,Yes
4168,Children of the Desert,['Secrets of the Sands'],1,Yes
4169,Charles Towne Belles,"['The Blue Enchantress', 'The Raven Saint']",2,No
4170,The Irish End Game,['Free Falling'],1,No
4171,Fafhrd and the Gray Mouser,"['Swords and Deviltry', 'Swords Against Death', 'Swords Against Wizardry', 'Swords in the Mist', 'Swords and Ice Magic']",5,No
